====
    Phaedra II

    Copyright (C) 2016-2022 Open Analytics

    ===========================================================================

    This program is free software: you can redistribute it and/or modify
    it under the terms of the Apache License as published by
    The Apache Software Foundation, either version 2 of the License, or
    (at your option) any later version.

    This program is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
    Apache License for more details.

    You should have received a copy of the Apache License
    along with this program.  If not, see <http://www.apache.org/licenses/>
====

"EXPERIMENT_ID"	"EXPERIMENT_NAME"	"PLATE_ID"	"BARCODE"	"duplo"	"SEQUENCE_IN_RUN"	"PLATE_INFO"	"VALIDATE_STATUS"	"APPROVE_STATUS"	"REMARKS"	"WELL_ID"	"ROW_NR"	"COL_NR"	"WELLTYPE_CODE"	"COMP_NAME"	"CONCENTRATION"	"IS_VALID"	"SALTFORM"	"CalcResultI.NORMALIZED"	"CalcResultI.RAW_VALUE"	"cpdID"
"1"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094785	1	1	"PC"	""	0	0	NA	102.6515152	1360	9141094785
"2"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094786	1	2	"PC"	""	0	0	NA	99.0530303	2120	9141094786
"3"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094787	1	3	"NC"	""	0	0	NA	24.24242424	17920	9141094787
"4"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094788	1	4	"NC"	""	0	0	NA	17.99242424	19240	9141094788
"5"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094789	1	5	"SAMPLE"	"G1070743-1"	9.9e-06	0	NA	16.09848485	19640	9141094789
"6"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094790	1	6	"SAMPLE"	"G1093045-1"	9.9e-06	0	NA	12.68939394	20360	9141094790
"7"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094791	1	7	"SAMPLE"	"G1070118-1"	9.9e-06	0	NA	14.01515152	20080	9141094791
"8"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094792	1	8	"SAMPLE"	"G1084617-1"	9.9e-06	0	NA	17.61363636	19320	9141094792
"9"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094793	1	9	"SAMPLE"	"G1070750-1"	9.9e-06	0	NA	13.63636364	20160	9141094793
"10"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094794	1	10	"SAMPLE"	"G1093053-1"	9.9e-06	0	NA	13.4469697	20200	9141094794
"11"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094795	1	11	"SAMPLE"	"G1070126-1"	9.9e-06	0	NA	14.58333333	19960	9141094795
"12"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094796	1	12	"SAMPLE"	"G1084623-1"	9.9e-06	0	NA	8.712121212	21200	9141094796
"13"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094797	1	13	"SAMPLE"	"G1070758-1"	9.9e-06	0	NA	5.113636364	21960	9141094797
"14"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094798	1	14	"SAMPLE"	"G1093061-1"	9.9e-06	0	NA	5.871212121	21800	9141094798
"15"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094799	1	15	"SAMPLE"	"G1070133-1"	9.9e-06	0	NA	16.47727273	19560	9141094799
"16"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094800	1	16	"SAMPLE"	"G1084629-1"	9.9e-06	0	NA	1.704545455	22680	9141094800
"17"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094801	1	17	"SAMPLE"	"G1070766-1"	9.9e-06	0	NA	1.893939394	22640	9141094801
"18"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094802	1	18	"SAMPLE"	"G1093069-1"	9.9e-06	0	NA	-1.515151515	23360	9141094802
"19"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094803	1	19	"SAMPLE"	"G1070141-1"	9.9e-06	0	NA	3.409090909	22320	9141094803
"20"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094804	1	20	"SAMPLE"	"G1084634-1"	9.9e-06	0	NA	6.628787879	21640	9141094804
"21"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094805	1	21	"SAMPLE"	"G1070773-1"	9.9e-06	0	NA	7.765151515	21400	9141094805
"22"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094806	1	22	"SAMPLE"	"G1093077-1"	9.9e-06	0	NA	4.734848485	22040	9141094806
"23"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094807	1	23	"SAMPLE"	"G1070148-1"	9.9e-06	0	NA	5.871212121	21800	9141094807
"24"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094808	1	24	"SAMPLE"	"G1084640-1"	9.9e-06	0	NA	10.98484848	20720	9141094808
"25"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094809	1	25	"SAMPLE"	"G1070781-1"	9.9e-06	0	NA	12.5	20400	9141094809
"26"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094810	1	26	"SAMPLE"	"G1093085-1"	9.9e-06	0	NA	7.575757576	21440	9141094810
"27"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094811	1	27	"SAMPLE"	"G1070153-1"	9.9e-06	0	NA	9.46969697	21040	9141094811
"28"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094812	1	28	"SAMPLE"	"G1084645-1"	9.9e-06	0	NA	12.87878788	20320	9141094812
"29"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094813	1	29	"SAMPLE"	"G1070789-1"	9.9e-06	0	NA	10.79545455	20760	9141094813
"30"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094814	1	30	"SAMPLE"	"G1093093-1"	9.9e-06	0	NA	5.871212121	21800	9141094814
"31"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094815	1	31	"SAMPLE"	"G1070160-1"	9.9e-06	0	NA	7.196969697	21520	9141094815
"32"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094816	1	32	"SAMPLE"	"G1084651-1"	9.9e-06	0	NA	10.41666667	20840	9141094816
"33"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094817	1	33	"SAMPLE"	"G1070797-1"	9.9e-06	0	NA	16.66666667	19520	9141094817
"34"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094818	1	34	"SAMPLE"	"G1093101-1"	9.9e-06	0	NA	11.5530303	20600	9141094818
"35"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094819	1	35	"SAMPLE"	"G1070168-1"	9.9e-06	0	NA	14.39393939	20000	9141094819
"36"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094820	1	36	"SAMPLE"	"G1084656-1"	9.9e-06	0	NA	17.04545455	19440	9141094820
"37"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094821	1	37	"SAMPLE"	"G1070805-1"	9.9e-06	0	NA	17.61363636	19320	9141094821
"38"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094822	1	38	"SAMPLE"	"G1093109-1"	9.9e-06	0	NA	20.07575758	18800	9141094822
"39"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094823	1	39	"SAMPLE"	"G1070176-1"	9.9e-06	0	NA	21.59090909	18480	9141094823
"40"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094824	1	40	"SAMPLE"	"G1084663-1"	9.9e-06	0	NA	21.40151515	18520	9141094824
"41"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094825	1	41	"SAMPLE"	"G1070813-1"	9.9e-06	0	NA	29.73484848	16760	9141094825
"42"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094826	1	42	"SAMPLE"	"G1093117-1"	9.9e-06	0	NA	24.24242424	17920	9141094826
"43"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094827	1	43	"SAMPLE"	"G1070184-1"	9.9e-06	0	NA	23.48484848	18080	9141094827
"44"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094828	1	44	"SAMPLE"	"G1084669-1"	9.9e-06	0	NA	27.46212121	17240	9141094828
"45"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094829	1	45	"NC"	""	0	0	NA	26.13636364	17520	9141094829
"46"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094830	1	46	"NC"	""	0	0	NA	27.08333333	17320	9141094830
"47"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094831	1	47	"PC"	""	0	0	NA	98.86363636	2160	9141094831
"48"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094832	1	48	"PC"	""	0	0	NA	100.9469697	1720	9141094832
"49"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094833	2	1	"PC"	""	0	0	NA	101.8939394	1520	9141094833
"50"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094834	2	2	"PC"	""	0	0	NA	96.40151515	2680	9141094834
"51"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094835	2	3	"NC"	""	0	0	NA	19.6969697	18880	9141094835
"52"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094836	2	4	"NC"	""	0	0	NA	13.82575758	20120	9141094836
"53"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094837	2	5	"SAMPLE"	"G1079912-1"	9.9e-06	0	NA	14.20454545	20040	9141094837
"54"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094838	2	6	"SAMPLE"	"G1069858-1"	9.9e-06	0	NA	10.60606061	20800	9141094838
"55"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094839	2	7	"SAMPLE"	"G1108279-1"	9.9e-06	0	NA	12.5	20400	9141094839
"56"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094840	2	8	"SAMPLE"	"G942699-3"	9.9e-06	0	NA	21.96969697	18400	9141094840
"57"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094841	2	9	"SAMPLE"	"G1079919-1"	9.9e-06	0	NA	9.848484848	20960	9141094841
"58"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094842	2	10	"SAMPLE"	"G530279-5"	9.9e-06	0	NA	8.522727273	21240	9141094842
"59"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094843	2	11	"SAMPLE"	"G1108287-1"	9.9e-06	0	NA	7.575757576	21440	9141094843
"60"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094844	2	12	"SAMPLE"	"G715620-2"	9.9e-06	0	NA	2.272727273	22560	9141094844
"61"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094845	2	13	"SAMPLE"	"G1049599-2"	9.9e-06	0	NA	9.090909091	21120	9141094845
"62"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094846	2	14	"SAMPLE"	"G1069868-1"	9.9e-06	0	NA	0.568181818	22920	9141094846
"63"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094847	2	15	"SAMPLE"	"G1108295-1"	9.9e-06	0	NA	7.575757576	21440	9141094847
"64"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094848	2	16	"SAMPLE"	"G576837-5"	9.9e-06	0	NA	6.818181818	21600	9141094848
"65"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094849	2	17	"SAMPLE"	"G1079932-1"	9.9e-06	0	NA	1.704545455	22680	9141094849
"66"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094850	2	18	"SAMPLE"	"G1069876-1"	9.9e-06	0	NA	8.712121212	21200	9141094850
"67"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094851	2	19	"SAMPLE"	"G1108303-1"	9.9e-06	0	NA	7.007575758	21560	9141094851
"68"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094852	2	20	"SAMPLE"	"G1088254-1"	9.9e-06	0	NA	4.545454545	22080	9141094852
"69"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094853	2	21	"SAMPLE"	"G1079939-1"	9.9e-06	0	NA	8.712121212	21200	9141094853
"70"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094854	2	22	"SAMPLE"	"G1069882-1"	9.9e-06	0	NA	3.598484848	22280	9141094854
"71"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094855	2	23	"SAMPLE"	"G1108311-1"	9.9e-06	0	NA	8.522727273	21240	9141094855
"72"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094856	2	24	"SAMPLE"	"G1025422-2"	9.9e-06	0	NA	5.113636364	21960	9141094856
"73"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094857	2	25	"SAMPLE"	"G1079946-1"	9.9e-06	0	NA	5.492424242	21880	9141094857
"74"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094858	2	26	"SAMPLE"	"G982185-2"	9.9e-06	0	NA	1.136363636	22800	9141094858
"75"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094859	2	27	"SAMPLE"	"G1108319-1"	9.9e-06	0	NA	6.25	21720	9141094859
"76"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094860	2	28	"SAMPLE"	"G1088260-1"	9.9e-06	0	NA	4.924242424	22000	9141094860
"77"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094861	2	29	"SAMPLE"	"G1079954-1"	9.9e-06	0	NA	5.113636364	21960	9141094861
"78"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094862	2	30	"SAMPLE"	"G584753-4"	9.9e-06	0	NA	10.03787879	20920	9141094862
"79"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094863	2	31	"SAMPLE"	"G1108327-1"	9.9e-06	0	NA	12.12121212	20480	9141094863
"80"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094864	2	32	"SAMPLE"	"G1088264-1"	9.9e-06	0	NA	7.954545455	21360	9141094864
"81"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094865	2	33	"SAMPLE"	"G1079962-1"	9.9e-06	0	NA	17.23484848	19400	9141094865
"82"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094866	2	34	"SAMPLE"	"G1069897-1"	9.9e-06	0	NA	11.93181818	20520	9141094866
"83"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094867	2	35	"SAMPLE"	"G1108335-1"	9.9e-06	0	NA	10.79545455	20760	9141094867
"84"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094868	2	36	"SAMPLE"	"G1088270-1"	9.9e-06	0	NA	17.42424242	19360	9141094868
"85"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094869	2	37	"SAMPLE"	"G1079970-1"	9.9e-06	0	NA	11.5530303	20600	9141094869
"86"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094870	2	38	"SAMPLE"	"G1069902-1"	9.9e-06	0	NA	14.77272727	19920	9141094870
"87"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094871	2	39	"SAMPLE"	"G1108343-1"	9.9e-06	0	NA	24.62121212	17840	9141094871
"88"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094872	2	40	"SAMPLE"	"G1088276-1"	9.9e-06	0	NA	12.12121212	20480	9141094872
"89"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094873	2	41	"SAMPLE"	"G1079978-1"	9.9e-06	0	NA	20.83333333	18640	9141094873
"90"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094874	2	42	"SAMPLE"	"G1069905-1"	9.9e-06	0	NA	27.46212121	17240	9141094874
"91"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094875	2	43	"SAMPLE"	"G1108351-1"	9.9e-06	0	NA	19.88636364	18840	9141094875
"92"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094876	2	44	"SAMPLE"	"G577469-2"	9.9e-06	0	NA	22.15909091	18360	9141094876
"93"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094877	2	45	"NC"	""	0	0	NA	27.27272727	17280	9141094877
"94"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094878	2	46	"NC"	""	0	0	NA	15.34090909	19800	9141094878
"95"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094879	2	47	"PC"	""	0	0	NA	96.59090909	2640	9141094879
"96"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094880	2	48	"PC"	""	0	0	NA	102.6515152	1360	9141094880
"97"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094881	3	1	"PC"	""	0	0	NA	101.5151515	1600	9141094881
"98"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094882	3	2	"PC"	""	0	0	NA	98.10606061	2320	9141094882
"99"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094883	3	3	"NC"	""	0	0	NA	16.47727273	19560	9141094883
"100"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094884	3	4	"NC"	""	0	0	NA	14.77272727	19920	9141094884
"101"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094885	3	5	"SAMPLE"	"G1086516-1"	9.9e-06	0	NA	14.77272727	19920	9141094885
"102"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094886	3	6	"SAMPLE"	"G1092900-1"	9.9e-06	0	NA	17.04545455	19440	9141094886
"103"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094887	3	7	"SAMPLE"	"G1109655-1"	9.9e-06	0	NA	8.712121212	21200	9141094887
"104"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094888	3	8	"SAMPLE"	"G1112959-1"	9.9e-06	0	NA	5.303030303	21920	9141094888
"105"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094889	3	9	"SAMPLE"	"G1086524-1"	9.9e-06	0	NA	6.818181818	21600	9141094889
"106"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094890	3	10	"SAMPLE"	"G1092907-1"	9.9e-06	0	NA	7.575757576	21440	9141094890
"107"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094891	3	11	"SAMPLE"	"G1109663-1"	9.9e-06	0	NA	11.17424242	20680	9141094891
"108"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094892	3	12	"SAMPLE"	"G1112967-1"	9.9e-06	0	NA	3.409090909	22320	9141094892
"109"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094893	3	13	"SAMPLE"	"G1086532-1"	9.9e-06	0	NA	1.704545455	22680	9141094893
"110"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094894	3	14	"SAMPLE"	"G1092914-1"	9.9e-06	0	NA	5.113636364	21960	9141094894
"111"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094895	3	15	"SAMPLE"	"G1109671-1"	9.9e-06	0	NA	1.325757576	22760	9141094895
"112"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094896	3	16	"SAMPLE"	"G1112975-1"	9.9e-06	0	NA	7.007575758	21560	9141094896
"113"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094897	3	17	"SAMPLE"	"G1086540-1"	9.9e-06	0	NA	0.378787879	22960	9141094897
"114"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094898	3	18	"SAMPLE"	"G1092922-1"	9.9e-06	0	NA	-2.840909091	23640	9141094898
"115"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094899	3	19	"SAMPLE"	"G1109679-1"	9.9e-06	0	NA	1.704545455	22680	9141094899
"116"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094900	3	20	"SAMPLE"	"G1112983-1"	9.9e-06	0	NA	1.325757576	22760	9141094900
"117"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094901	3	21	"SAMPLE"	"G1086548-1"	9.9e-06	0	NA	-0.946969697	23240	9141094901
"118"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094902	3	22	"SAMPLE"	"G1092930-1"	9.9e-06	0	NA	1.515151515	22720	9141094902
"119"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094903	3	23	"SAMPLE"	"G1109687-1"	9.9e-06	0	NA	-1.704545455	23400	9141094903
"120"	50	"GT1917 HTS2"	914	2306738	NA	4	"Linked with Imported Layout"	0	0	NA	1094904	3	24	"SAMPLE"	"G1112991-1"	9.9e-06	0	NA	4.545454545	22080	9141094904
